Code,Market Code,Name,Date,Type,Qty,Price,Instrument Currency,Cost Base Per Share (aud),Brokerage,Brokerage Currency,Exch. Rate,Value, 
SYR,ASX,Syrah Resources,2017-10-10,Buy,150.0000,3.60,AUD,,10.00,AUD,1.00,550.00,
CBA,ASX,Commonwealth Bank.,2017-10-12,Buy,7.0000,75.96,AUD,,10.00,AUD,1.00,541.72,
CAN,ASX,Cann Group Ltd,2017-10-20,Buy,343.0000,1.46,AUD,,10.00,AUD,1.00,510.78,
GT3,ASX,G360 Technologies,2017-11-03,Buy,"18,000.0000",0.03,AUD,,10.00,AUD,1.00,514.00,
JAV,ASX,Javelin Minerals Ltd,2018-01-16,Buy,"22,728.0000",0.02,AUD,,10.00,AUD,1.00,510.02,
SYR,ASX,Syrah Resources,2018-02-12,Sell,-150.0000,3.18,AUD,,10.00,AUD,1.00,-467.00,
CAN,ASX,Cann Group Ltd,2018-02-27,Sell,-170.0000,3.05,AUD,,10.00,AUD,1.00,-508.50,
CBA,ASX,Commonwealth Bank.,2018-03-06,Sell,-7.0000,76.00,AUD,,10.00,AUD,1.00,-522.00,
GT3,ASX,G360 Technologies,2018-03-06,Sell,"-18,000.0000",0.03,AUD,,10.00,AUD,1.00,-512.00,
CAN,ASX,Cann Group Ltd,2018-03-16,Sell,-173.0000,3.05,AUD,,10.00,AUD,1.00,-517.65,
VBLD,ASX,Vanguard Global Infrastructure Index Etf,2018-10-24,Buy,11.0000,49.60,AUD,,10.00,AUD,1.00,555.60,
BOQ,ASX,Bank Of Queensland.,2019-02-18,Buy,60.0000,9.31,AUD,,10.00,AUD,1.00,568.60,
SYR,ASX,Syrah Resources,2019-03-21,Buy,561.0000,0.98,AUD,,10.00,AUD,1.00,559.78,
BOQ,ASX,Bank Of Queensland.,2019-05-22,Reinvestment,2.0000,8.78,AUD,,0.00,AUD,1.00,17.55,
BOQ,ASX,Bank Of Queensland.,2019-11-27,Reinvestment,2.0000,8.49,AUD,,0.00,AUD,1.00,16.98,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2020-05-14,Buy,22.0000,21.78,AUD,,2.00,AUD,1.00,481.16,
JAV,ASX,Javelin Minerals Ltd,2020-05-22,Cancellation,"-22,728.0000",0.00,AUD,,,AUD,1.00,-22.73,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2020-07-10,Reinvestment,0.0000,24.84,AUD,,0.00,AUD,1.00,0.00,
WBC,ASX,Westpac Banking Corp,2020-09-01,Buy,32.0000,17.10,AUD,,10.00,AUD,1.00,557.20,
HACK,ASX,Betashares Global Cybersecurity Etf,2020-09-08,Buy,138.0000,7.25,AUD,,0.00,AUD,1.00,"1,000.50",
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2020-09-14,Buy,40.0000,24.82,AUD,,2.00,AUD,1.00,994.80,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2020-10-12,Reinvestment,0.0000,24.07,AUD,,0.00,AUD,1.00,0.00,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2020-11-17,Sell,-62.0000,27.06,AUD,,3.36,AUD,1.00,"-1,674.36",
VTS,ASX,Vngd Us Total Market,2020-11-20,Buy,4.0000,251.55,AUD,,9.50,AUD,1.00,"1,015.70",
GT3,ASX,G360 Technologies,2020-11-23,Buy,"3,656.0000",0.18,AUD,,9.50,AUD,1.00,667.58,
BOQ,ASX,Bank Of Queensland.,2020-11-25,Reinvestment,1.0000,6.93,AUD,,0.00,AUD,1.00,6.93,
SWF,ASX,Selfwealth,2021-02-03,Buy,900.0000,0.66,AUD,,9.50,AUD,1.00,603.50,
BOQ,ASX,Bank Of Queensland.,2021-03-17,Buy,27.0000,7.35,AUD,,0.00,AUD,1.00,198.45,
VBLD,ASX,Vanguard Global Infrastructure Index Etf,2021-04-07,Sell,-11.0000,55.80,AUD,,9.50,AUD,1.00,-604.30,
HACK,ASX,Betashares Global Cybersecurity Etf,2021-04-15,Buy,137.0000,8.68,AUD,,9.50,AUD,1.00,"1,198.66",
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2021-05-20,Buy,19.0000,28.88,AUD,,2.00,AUD,1.00,550.72,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2021-05-20,Buy,69.0000,28.89,AUD,,3.98,AUD,1.00,"1,997.39",
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2021-05-21,Buy,35.0000,28.81,AUD,,2.01,AUD,1.00,"1,010.36",
BOQ,ASX,Bank Of Queensland.,2021-05-26,Reinvestment,1.0000,8.81,AUD,,0.00,AUD,1.00,8.81,
HACK,ASX,Betashares Global Cybersecurity Etf,2021-05-26,Buy,228.0000,8.73,AUD,,9.50,AUD,1.00,"1,999.94",
WBC,ASX,Westpac Banking Corp,2021-06-25,Reinvestment,0.0000,25.98,AUD,,0.00,AUD,1.00,0.00,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2021-07-12,Reinvestment,1.0000,29.82,AUD,,0.00,AUD,1.00,29.82,
VISM,ASX,Vanguard Msci Intl Small Companies Indx Etf,2021-07-15,Buy,33.0000,63.20,AUD,,9.50,AUD,1.00,"2,095.10",
HACK,ASX,Betashares Global Cybersecurity Etf,2021-07-16,Reinvestment,16.0000,9.20,AUD,,0.00,AUD,1.00,147.19,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2021-10-12,Reinvestment,3.0000,27.98,AUD,,0.00,AUD,1.00,83.93,
VISM,ASX,Vanguard Msci Intl Small Companies Indx Etf,2021-10-18,Reinvestment,0.0000,63.95,AUD,,0.00,AUD,1.00,0.00,
BOQ,ASX,Bank Of Queensland.,2021-11-18,Reinvestment,3.0000,8.67,AUD,,0.00,AUD,1.00,26.01,
WBC,ASX,Westpac Banking Corp,2021-12-21,Reinvestment,1.0000,22.34,AUD,,0.00,AUD,1.00,22.34,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2022-01-13,Reinvestment,1.0000,30.92,AUD,,0.00,AUD,1.00,30.92,
SYI,ASX,State Str Spdr Msci Aus Select High Div Yield Etf,2022-01-18,Sell,-128.0000,31.28,AUD,,3.00,AUD,1.00,"-4,000.84",
VISM,ASX,Vanguard Msci Intl Small Companies Indx Etf,2022-01-19,Reinvestment,0.0000,64.45,AUD,,0.00,AUD,1.00,0.00,
SYR,ASX,Syrah Resources,2022-03-07,Buy,95.0000,1.48,AUD,,0.00,AUD,1.00,140.60,
VISM,ASX,Vanguard Msci Intl Small Companies Indx Etf,2022-04-20,Reinvestment,1.0000,57.44,AUD,,0.00,AUD,1.00,57.44,
BOQ,ASX,Bank Of Queensland.,2022-05-26,Reinvestment,2.0000,7.29,AUD,,0.00,AUD,1.00,14.58,
